match_id,inning,batting_team,bowling_team,over,ball,batsman,bowler,non_striker,runs_of_bat,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1359475,1,Chennai Super Kings,Gujarat Titans,6,6,RD Gaikwad,HH Pandya,BA Stokes,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,7,1,BA Stokes,Rashid Khan,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,7,2,RD Gaikwad,Rashid Khan,BA Stokes,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,7,3,BA Stokes,Rashid Khan,RD Gaikwad,4,0,4,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,7,4,BA Stokes,Rashid Khan,RD Gaikwad,0,0,0,,1,BA Stokes,caught,WP Saha
1359475,1,Chennai Super Kings,Gujarat Titans,7,5,AT Rayudu,Rashid Khan,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,7,6,RD Gaikwad,Rashid Khan,AT Rayudu,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,8,1,RD Gaikwad,AS Joseph,AT Rayudu,6,0,6,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,8,2,RD Gaikwad,AS Joseph,AT Rayudu,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,8,3,RD Gaikwad,AS Joseph,AT Rayudu,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,8,4,RD Gaikwad,AS Joseph,AT Rayudu,6,0,6,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,8,5,RD Gaikwad,AS Joseph,AT Rayudu,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,8,6,RD Gaikwad,AS Joseph,AT Rayudu,6,0,6,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,9,1,AT Rayudu,Rashid Khan,RD Gaikwad,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,9,2,AT Rayudu,Rashid Khan,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,9,3,RD Gaikwad,Rashid Khan,AT Rayudu,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,9,4,AT Rayudu,Rashid Khan,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,9,5,RD Gaikwad,Rashid Khan,AT Rayudu,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,9,6,RD Gaikwad,Rashid Khan,AT Rayudu,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,10,1,AT Rayudu,J Little,RD Gaikwad,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,10,2,AT Rayudu,J Little,RD Gaikwad,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,10,3,AT Rayudu,J Little,RD Gaikwad,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,10,4,AT Rayudu,J Little,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,10,5,RD Gaikwad,J Little,AT Rayudu,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,10,6,RD Gaikwad,J Little,AT Rayudu,6,0,6,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,11,1,AT Rayudu,Yash Dayal,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,11,2,RD Gaikwad,Yash Dayal,AT Rayudu,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,11,3,RD Gaikwad,Yash Dayal,AT Rayudu,6,0,6,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,11,4,RD Gaikwad,Yash Dayal,AT Rayudu,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,11,5,RD Gaikwad,Yash Dayal,AT Rayudu,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,11,6,AT Rayudu,Yash Dayal,RD Gaikwad,6,0,6,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,12,1,RD Gaikwad,J Little,AT Rayudu,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,12,2,AT Rayudu,J Little,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,12,3,RD Gaikwad,J Little,AT Rayudu,4,0,4,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,12,4,RD Gaikwad,J Little,AT Rayudu,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,12,5,AT Rayudu,J Little,RD Gaikwad,0,0,0,,1,AT Rayudu,bowled,
1359475,1,Chennai Super Kings,Gujarat Titans,12,6,S Dube,J Little,RD Gaikwad,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,13,1,RD Gaikwad,AS Joseph,S Dube,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,13,2,S Dube,AS Joseph,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,13,3,RD Gaikwad,AS Joseph,S Dube,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,13,4,S Dube,AS Joseph,RD Gaikwad,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,13,5,S Dube,AS Joseph,RD Gaikwad,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,13,6,S Dube,AS Joseph,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,14,1,S Dube,HH Pandya,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,14,2,RD Gaikwad,HH Pandya,S Dube,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,14,3,S Dube,HH Pandya,RD Gaikwad,0,4,4,legbyes,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,14,4,S Dube,HH Pandya,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,14,5,RD Gaikwad,HH Pandya,S Dube,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,14,6,RD Gaikwad,HH Pandya,S Dube,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,15,1,RD Gaikwad,AS Joseph,S Dube,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,15,2,S Dube,AS Joseph,RD Gaikwad,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,15,3,S Dube,AS Joseph,RD Gaikwad,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,15,4,RD Gaikwad,AS Joseph,S Dube,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,15,5,S Dube,AS Joseph,RD Gaikwad,2,0,2,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,15,6,S Dube,AS Joseph,RD Gaikwad,2,0,2,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,16,1,RD Gaikwad,Rashid Khan,S Dube,6,0,6,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,16,2,RD Gaikwad,Rashid Khan,S Dube,2,0,2,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,16,3,RD Gaikwad,Rashid Khan,S Dube,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,16,4,S Dube,Rashid Khan,RD Gaikwad,0,1,1,byes,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,16,5,RD Gaikwad,Rashid Khan,S Dube,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,16,6,RD Gaikwad,Rashid Khan,S Dube,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,17,1,RD Gaikwad,AS Joseph,S Dube,0,0,0,,1,RD Gaikwad,caught,Shubman Gill
1359475,1,Chennai Super Kings,Gujarat Titans,17,2,RA Jadeja,AS Joseph,S Dube,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,17,3,S Dube,AS Joseph,RA Jadeja,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,17,4,RA Jadeja,AS Joseph,S Dube,0,0,0,,1,RA Jadeja,caught,V Shankar
1359475,1,Chennai Super Kings,Gujarat Titans,17,5,MS Dhoni,AS Joseph,S Dube,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,17,6,S Dube,AS Joseph,MS Dhoni,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,18,1,S Dube,Mohammed Shami,MS Dhoni,2,0,2,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,18,2,S Dube,Mohammed Shami,MS Dhoni,6,0,6,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,18,3,S Dube,Mohammed Shami,MS Dhoni,0,0,0,,1,S Dube,caught,Rashid Khan
1359475,1,Chennai Super Kings,Gujarat Titans,18,4,MJ Santner,Mohammed Shami,MS Dhoni,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,18,5,MJ Santner,Mohammed Shami,MS Dhoni,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,18,6,MS Dhoni,Mohammed Shami,MJ Santner,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,19,1,MS Dhoni,J Little,MJ Santner,1,0,1,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,19,2,MJ Santner,J Little,MS Dhoni,0,1,1,legbyes,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,19,3,MS Dhoni,J Little,MJ Santner,6,0,6,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,19,4,MS Dhoni,J Little,MJ Santner,4,0,4,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,19,5,MS Dhoni,J Little,MJ Santner,0,0,0,,0,,,
1359475,1,Chennai Super Kings,Gujarat Titans,19,6,MS Dhoni,J Little,MJ Santner,1,0,1,,0,,,
1359475,2,Gujarat Titans,Chennai Super Kings,0,1,WP Saha,DL Chahar,Shubman Gill,0,0,0,,0,,,
